id,category,priority,rule,rationale,example_good,example_bad
15,Touch,CRITICAL,"No instant state changes (minimum 100ms)","Prevents flicker, respects perception","transition-[150ms]","transition-[0ms] or none"
16,Performance,HIGH,"WebP/AVIF images with fallbacks","Reduces payload, faster LCP","<picture><source type='image/avif'><img></picture>","<img src='large.jpg'>"
17,Performance,HIGH,"Lazy load below-fold images/components","Reduces initial bundle, faster FCP","loading='lazy' on images","All images eager load"
18,Performance,HIGH,"Reserve space to prevent CLS < 0.1","Prevents layout shift during load","aspect-video on images, skeleton height","Images push content down"
19,Performance,HIGH,"No layout thrashing (read/write separation)","Prevents forced synchronous layouts","Batch DOM reads then writes","Read offsetHeight in loop"
20,Performance,HIGH,"Code split by route, lazy load heavy components","Reduces initial JS bundle","next/dynamic for charts, editors","All components in main bundle"
21,Style,HIGH,"Match visual style to product type","Consistency builds trust, meets expectations","Minimalism for SaaS dashboard","Brutalism for banking app"
22,Style,HIGH,"Single style system across entire product","Mixed styles confuse users, look broken","All cards use same elevation","Some flat, some neumorphic"
23,Style,HIGH,"SVG icons (Lucide), no emoji in UI","Emoji render differently across platforms","<Mail className='w-4 h-4'/>","📧 in button"
24,Style,HIGH,"No mixing flat and skeuomorphic randomly","Inconsistent depth perception","All cards: flat with border","Some flat, some 3D clay"
25,Layout,HIGH,"Mobile-first breakpoints (640, 768, 1024, 1280)","Progressive enhancement, not degradation","sm: md: lg: xl: prefixes","Desktop-first with max-width"
26,Layout,HIGH,"Viewport meta tag for mobile","Enables proper mobile scaling","<meta name='viewport' content='width=device-width'>","Missing viewport"
27,Layout,HIGH,"No horizontal scroll at any breakpoint","Content must fit viewport","overflow-x-hidden, responsive grids","Fixed 1200px container on mobile"
28,Layout,HIGH,"No fixed pixel container widths","Fluid layouts adapt to screen","max-w-7xl mx-auto px-4","width: 1200px"
29,Layout,HIGH,"Don't disable zoom (user-scalable=yes)","Accessibility: low vision users zoom","viewport without user-scalable=no","user-scalable=no"
30,Typography,MEDIUM,"Base font size ≥ 16px for body text","Readability, accessibility","text-base (16px)","text-xs (12px) for body"
31,Typography,MEDIUM,"Line height ≥ 1.5 for body text","Reading comfort, accessibility","leading-normal (1.5)","leading-tight (1.25) for body"
32,Typography,MEDIUM,"Semantic color tokens, not raw hex in components","Theming, maintenance, consistency","text-foreground, bg-primary","text-[#1F2328], bg-[#C62828]"
33,Typography,MEDIUM,"No body text < 12px","Readability, accessibility","text-xs only for captions/metadata","text-[10px] for body"
34,Typography,MEDIUM,"No gray-on-gray low contrast combinations","WCAG contrast, readability","text-gris-oscuro on bg-blanco","text-gris-medio on bg-gris-claro"
35,Animation,MEDIUM,"Context-aware timing (fast for micro, slow for macro)","Motion should feel natural, not uniform","150ms hover, 300ms modal","300ms for everything"
36,Animation,MEDIUM,"Motion conveys meaning (direction, causality)","Helps users understand state changes","Slide in from trigger direction","Fade only for everything"
37,Animation,MEDIUM,"Spatial continuity (elements move logically)","Maintains object constancy","List item slides to new position","Item disappears, reappears"
38,Animation,MEDIUM,"Respect prefers-reduced-motion","Accessibility: vestibular disorders","@media (prefers-reduced-motion: reduce)","All animations always play"
39,Animation,MEDIUM,"Animate transform/opacity, not width/height/layout","Performance: GPU accelerated, no layout","translateX, scale, opacity","width, height, top, left"
40,Animation,MEDIUM,"Stagger delays for lists (50ms)","Perceived performance, reduces cognitive load","staggerChildren: 0.05","All items animate together"
41,Forms,MEDIUM,"Visible labels (not placeholder-only)","Placeholder disappears on input","<label>Email</label><input>","<input placeholder='Email'>"
42,Forms,MEDIUM,"Error message adjacent to field","Users connect error to field","Error below input, aria-describedby","Errors only at top of form"
43,Forms,MEDIUM,"Helper text for complex fields","Reduces errors, cognitive load","Password requirements hint","No hint, user guesses"
44,Forms,MEDIUM,"Progressive disclosure (show when needed)","Reduces overwhelm","Show confirm password on focus","All fields visible always"
45,Forms,MEDIUM,"Don't overwhelm upfront (chunk long forms)","Cognitive load, completion rates","Multi-step with progress","20 fields on one page"
46,Navigation,HIGH,"Predictable back behavior (browser back works)","User expectation, trust","History API for SPAs","Back button breaks app"
47,Navigation,HIGH,"Bottom navigation ≤ 5 items (mobile)","Thumb reach, cognitive load","4-5 icons with labels","7 items, scrolling nav"
48,Navigation,HIGH,"Deep linking to all major views","Shareability, SEO, bookmarks","/leads/123 opens lead detail","All routes are /"
49,Navigation,HIGH,"No overloaded navigation (progressive disclosure)","Cognitive load, decision paralysis","Mega menu with categories","50 links in header"
50,Navigation,HIGH,"Consistent navigation placement across pages","Spatial memory, learnability","Sidebar always left","Sidebar moves per page"
51,Charts,LOW,"Legends on all multi-series charts","Identify data series","Legend with color labels","Lines only, no legend"
52,Charts,LOW,"Tooltips on data points (hover/tap)","Exact values on demand","Show value, label, date","No interaction"
53,Charts,LOW,"Accessible color palettes (colorblind safe)","8% males colorblind","viridis, colorbrewer safe","Red/green only for up/down"
54,Charts,LOW,"Not relying on color alone for meaning","WCAG 1.4.1 - colorblind users","Color + icon + pattern + label","Red line = down only"
55,Charts,LOW,"Data table alternative for complex charts","Screen readers, precise values","Visually hidden table with data","Chart only"
56,Content,MEDIUM,"Clear, concise, jargon-free copy","Cognitive load, accessibility","'Add lead' not 'Initiate lead creation'","'Leverage synergies'"
57,Content,MEDIUM,"Descriptive link text (not 'click here')","Screen reader link lists","'View lead details'","'Click here for details'"
58,Content,MEDIUM,"Status messages announced (aria-live)","Dynamic updates communicated","Toast with role='status'","Silent status change"
59,Content,MEDIUM,"Consistent terminology across product","Learnability, trust","Always 'Archive', never 'Delete' sometimes","Mix 'Archive'/'Remove'/'Delete'"
60,Content,MEDIUM,"Help/documentation accessible from context","Self-service, reduced support","Help icon near complex feature","Help only in footer"
